check stuff level | https://cs.brown.edu/courses/csci1380/sandbox/1 15 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 2
check stuff | https://cs.brown.edu/courses/csci1380/sandbox/1 15 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 2
check | https://cs.brown.edu/courses/csci1380/sandbox/1 15 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 2
level check stuff | https://cs.brown.edu/courses/csci1380/sandbox/1 10 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 1
level check | https://cs.brown.edu/courses/csci1380/sandbox/1 10 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 1
level right | https://cs.brown.edu/courses/csci1380/sandbox/1 5 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 1
level | https://cs.brown.edu/courses/csci1380/sandbox/1 15 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 2
link check stuff | https://cs.brown.edu/courses/csci1380/sandbox/1 5 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 1
link check | https://cs.brown.edu/courses/csci1380/sandbox/1 5 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 1
link | https://cs.brown.edu/courses/csci1380/sandbox/1 5 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 1
right | https://cs.brown.edu/courses/csci1380/sandbox/1 5 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 1
simpl link check | https://cs.brown.edu/courses/csci1380/sandbox/1 5 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 1
simpl link | https://cs.brown.edu/courses/csci1380/sandbox/1 5 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 1
simpl | https://cs.brown.edu/courses/csci1380/sandbox/1 5 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 1
stuff level check | https://cs.brown.edu/courses/csci1380/sandbox/1 10 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 1
stuff level right | https://cs.brown.edu/courses/csci1380/sandbox/1 5 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 1
stuff level | https://cs.brown.edu/courses/csci1380/sandbox/1 15 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 2
stuff | https://cs.brown.edu/courses/csci1380/sandbox/1 15 https://cs.brown.edu/courses/csci1380/sandbox/1/level_1a/index.html 2
